순번,영상길이,제목,조회수,구독자,채널명,기여도,성과도,총영상수,게시일,영상ID,썸네일파일
259,2:31,"러브란 LOVE RAN | Choreography ♬ 솔라 SOLAR - 컬러스 COLORS (with House of Love)",436673,27700,"러브란 LOVE RAN",Good,Good,996,2024.05.13,jbRBj_89CBw,jbRBj_89CBw.jpg
260,33:49,"[고음질 녹음본]롯데월드 어드벤처 야간 퍼레이드 월드 오브 라이트 (World of Light) Full 레코딩 음원(프리쇼 포함/음질 개선 버전)",113374,1870,"pachie",Good,Good,1084,2024.05.02,m71DGK1_2Wg,m71DGK1_2Wg.jpg
261,47:06,"몸치도 되는 50분 댄스다이어트 | Full Body Dance Workout 50-Minute Routine",345592,28600,"바디앤댄스",Good,Good,94,2024.04.19,eutcbO2Q9xE,eutcbO2Q9xE.jpg
262,3:51,"QWER '고민중독' Official MV",31689636,1330000,"QWER",Good,Good,955,2024.04.01,ImuWa3SJulY,ImuWa3SJulY.jpg
263,3:09,"ILLIT (아일릿) ‘Magnetic’ Official MV",317596375,81300000,"HYBE LABELS",Good,Good,3281,2024.03.25,Vk5-c_v4gMU,Vk5-c_v4gMU.jpg
264,14:46,"[웃는아이]풀영상💥""단지동맹""💥영하15도 날씨에도 모두를 울렸다 (실화: 지나가던 외국인 커플도 울었음 )",1405250,336000,"[웃는아이TV] S.T.S 최강 설쌤 !!",Good,Good,603,2024.03.20,6pWY0GvIX0o,6pWY0GvIX0o.jpg
265,19:47,"아이폰 사진 8만장 관리! 훨씬 더 쉽고 편한 방법이 있습니다 😲",636950,321000,"방구석 리뷰룸",Good,Good,1160,2024.02.29,vXhYcS7f8rQ,vXhYcS7f8rQ.jpg
266,3:02,"[가사/번역] Yaelokre - Harpy Hare",2182474,15800,"하늬",Good,Good,40,2024.02.27,LLvH-hIRHoc,LLvH-hIRHoc.jpg
267,3:39,"맞아, 그래서? 💁‍♀️ Ariana Grande - yes, and? [가사해석/번역]",2524269,104000,"음팝",Good,Good,401,2024.01.13,t6oe_UKxmd4,t6oe_UKxmd4.jpg
268,45:37,"과학자들이 신의 존재를 인정할 수밖에 없는 이유 (불가능한 설명 ㄷㄷ) ㅣ과학을 보다 EP.38",5152856,3110000,"보다 BODA",Good,Good,1927,2023.12.09,q1Q_aIwuf8M,q1Q_aIwuf8M.jpg
269,24:55,"[EN/JP] 전국 학식 탑티어 세종대 학식 리뷰 [세종대 호텔관광경영학과] | 전과자 ep.42",4204945,1830000,"ootb STUDIO",Good,Good,1464,2023.11.30,RVkklEOG1ec,RVkklEOG1ec.jpg
270,19:23,"이 아이돌 그룹의 이름과 노래 제목은? (Feat. KISS OF LIFE)",3148752,176000,"film94",Good,Good,157,2023.11.18,oK2y0sOUkDk,oK2y0sOUkDk.jpg
271,29:42,"1-10 숫자송 | 핑크퐁 수동요 | +모음집 | 30분 이어듣기 | 매일 15분! 핑크퐁 아기상어와 공부해요",1037008,77900,"핑크퐁! 홈스쿨",Good,Good,138,2023.11.11,EbcfQn1X4BI,EbcfQn1X4BI.jpg
272,3:20,"Stray Kids ""락 (樂) (LALALALA)"" M/V",339727063,31900000,"JYP Entertainment",Good,Good,2783,2023.11.10,dBDkYofMUs4,dBDkYofMUs4.jpg
273,4:16,"GODS ft. NewJeans (뉴진스) (Official Music Video) | Worlds 2023 Anthem - League of Legends",148556640,16000000,"League of Legends",Good,Good,1741,2023.10.04,C3GouGa0noM,C3GouGa0noM.jpg
274,15:45,"다이소에서만 100만원 쓴 것 같아요 l 자취의 교과서 같은 집 l 신림 4평 원룸 월세",2084172,996000,"자취남",Good,Good,1759,2023.09.05,oMeYMLRwKrY,oMeYMLRwKrY.jpg
275,20:59,"20년 치과의사 영업비밀. 양치할 때 제 아이들에겐 '이것부터' 알려줄 겁니다. (박창진 원장 1부)",8482094,3830000,"지식인사이드",Good,Good,1332,2023.09.02,h3V-VgkNXFQ,h3V-VgkNXFQ.jpg
276,18:11,"서울 처음 가보는 깡시골에서 온 조카와 먹방 브이로그",1823562,1420000,"양팡 YangPang",Good,Good,3388,2023.08.27,8FW0p4yTYyE,8FW0p4yTYyE.jpg
277,5:19,"휴대폰 바꿨을 때, 스마트폰 데이터 옮기기 (쓰던 갤럭시에서 새로운갤럭시로) 삼성 스위치 사용법",538620,354000,"디지털거북이",Good,Good,435,2023.08.16,_IydJL9pZgk,_IydJL9pZgk.jpg
278,23:03,"하루 두 번🧘🏻‍♀️꼭 해야하는 25분 전신순환 스트레칭 Ep.09 - 피로회복, 독소제거, 심신안정, 혈액순환, 부종완화, 라인정리 효과 (Whole body stretch)",880857,728000,"빵느",Good,Good,462,2023.07.31,pcj9HY5KXb4,pcj9HY5KXb4.jpg
279,1:41,"이 수박 발견하면 무조건 사오세요 (절대 실패하지 않습니다)",4066233,2610000,"1분미만",Good,Good,856,2023.07.23,Vws4jvdUO1E,Vws4jvdUO1E.jpg
280,41:06,"CBS 성경동화, 사무엘과 사울 이야기 모아보기(47~52화 | 41분 |😪수면동화🤰태교📖초신자 성경통독)",908049,127000,"알럽바이블",Good,Good,201,2023.07.19,rkrmL8Y4Fsk,rkrmL8Y4Fsk.jpg
281,3:14,"VIVID MERCURY [KIDS SIDE WINNER] | 2023FEEDBACKCOMPETITION KIDS&YOUTH | 피드백초중고2023 | FRONTVIEW",179123,76500,"FEEDBACK KOREA",Good,Good,2851,2023.07.18,4HlqgbiSHZ4,4HlqgbiSHZ4.jpg
282,26:30,"아프지 않고 오래 살려면 딱 '이 3가지'만 기억하세요. (김주환 교수 3부)",9265159,3830000,"지식인사이드",Good,Good,1332,2023.07.18,78mmuHwxwt0,78mmuHwxwt0.jpg
283,12:51,"[상식퀴즈] 중학생 수준의 지식 테스트 50개 / 지식퀴즈 / 아이큐테스트",2258661,98300,"문과언니",Good,Good,579,2023.06.09,VhVaZzxxQYw,VhVaZzxxQYw.jpg
284,18:38,"부정맥 명의가 알려준다! 증상 | 종류 | 진단 | 치료 | 예방법",142257,21600,"의학정보채널 채널의",Good,Good,448,2023.06.08,-pD7_zK7TqQ,-pD7_zK7TqQ.jpg
285,3:51,"Bruno Mars (브루노 마스) - Marry You [가사/Lyrics]",2177276,580000,"웅키",Good,Good,1812,2023.05.04,CP9PXe74mW8,CP9PXe74mW8.jpg
286,18:27,"과연 3주 금주가 효과가 있을까? 술을 빼고 건강과 행복을 더한 도전 (KBS 20230419 방송)",1428096,857000,"KBS 생로병사의 비밀",Good,Good,6886,2023.04.27,F6N8Pdsr5m8,F6N8Pdsr5m8.jpg
287,3:54,"Justin Bieber(저스틴 비버) - Love Yourself [가사/Lyrics]",3115187,580000,"웅키",Good,Good,1812,2023.04.12,TKDpOEkT0cY,TKDpOEkT0cY.jpg
288,4:03,"[LIVE] 에이미 와인하우스 (Amy Winehouse) - Back To Black | 한글자막 라이브",512946,269000,"유니버설 뮤직 코리아 Universal Music Korea",Good,Good,3187,2023.03.14,qg90oorWzGQ,qg90oorWzGQ.jpg
289,2:44,"할리갈리",156116,30000,"코리아보드게임즈",Good,Good,1286,2023.03.06,Ge0EiEiKOmQ,Ge0EiEiKOmQ.jpg
290,3:23,"베트남 도자캣???🔥틱톡에서 엄청 핫했던 띵띵땅땅 그 노래🔥 | [ 가사 / 번역 ] | Hoàng Thuỳ Linh - See Tình",6399349,37500,"어뮤즈 AMUSE",Good,Good,224,2023.02.23,fGSNmwQc-os,fGSNmwQc-os.jpg
291,30:47,"📌방송 하이라이트📌 발치, 끝이 아니다 - 뽑기 전에 알았다면 (KBS 20230208 방송)",2387519,857000,"KBS 생로병사의 비밀",Good,Good,6886,2023.02.20,jPJitb-VbJA,jPJitb-VbJA.jpg
292,3:45,"LE SSERAFIM (르세라핌) - 'Impurities' (Smooth R&B Remix) (Prod. MINDA)",373051,41300,"MINDA (민다)",Good,Good,65,2023.02.01,qjZ-7qBk1WU,qjZ-7qBk1WU.jpg
293,10:05,"초고음 옥타브를 넘나드는 꼬마의 경이로운 노래실력! 믿을 수 없는 오디션무대에 전세계인들 눈물 기립박수!(해외반응)ㅣ아메리카 갓탤런트 GOT TALENT SONGㅣ소마의리뷰",9653636,390000,"소마의댄스월드☆SOMA DANCEWORLD",Good,Good,449,2023.01.23,1P5XoL-HRRI,1P5XoL-HRRI.jpg
294,2:12,"[밀크T 인기송] 독도는 우리땅|독도|독도송|독도의 날|Dokdo|South Korea|Korea|어린이 동요|학습영상|200리",1734904,59600,"밀크티타임",Good,Good,4711,2023.01.02,L8o2WhrmfVY,L8o2WhrmfVY.jpg
295,15:37,"태양광 설치 방법, 총 설치비용 이 영상 하나면 끝!!",1442601,783000,"Mr.아재",Good,Good,367,2022.12.06,SRSeagtQDoU,SRSeagtQDoU.jpg
296,9:25,"삐거덕! 티라노사우루스 뼈가 부러졌어요! | 아기상어 병원놀이 🏥 | 뚜루루뚜루 | 상어가족 인기 동요 | 핑크퐁! 아기상어 올리",16646293,2100000,"핑크퐁! 아기상어 올리",Good,Good,1803,2022.12.02,OEjjk7S3bY8,OEjjk7S3bY8.jpg
297,17:21,"참교육) 여자들 100%가 무조건 겪어봤다는 여자무리 은따 이야기",1975409,775000,"PANGPANG STUDIO",Good,Good,1642,2022.11.12,_W3_hDdGNXc,_W3_hDdGNXc.jpg
298,8:03,"최배달 총재의 극진가라데 기본기 지도 영상",91608,12300,"극진가라데 권무회 kyokushinkarate kenbukai",Good,Good,982,2022.10.05,6R3DNiUi-yw,6R3DNiUi-yw.jpg
299,2:50,"🌷그대는 존재 자체로도 충분히 아름다워요 : Selena Gomez - Who Says [번역/가사/해석/lyrics] 셀레나 고메즈 (캐나다 몬트리올 라이브 공연)",3023534,6440,"고막청소",Good,Good,74,2022.09.25,NwF8MYP9F18,NwF8MYP9F18.jpg
300,13:43,"마디마디신경외과 의원 - 목 디스크를 가진 의사가 추천하는 운동",604020,268000,"닥터 마디마디 Dr MadiMadi",Good,Good,2076,2022.09.17,C2ZwnzQPvi8,C2ZwnzQPvi8.jpg
301,33:18,"돌연 심장사 위험 증상 4가지와 꼭 알아둬야 하는 2가지! 부정맥의 모든 것 | 서울대병원 최의근 교수",972708,380000,"서울대병원tv",Good,Good,2766,2022.08.04,9Umiey2rtQ0,9Umiey2rtQ0.jpg
302,4:24,"김광석-내사랑 내곁에 WITH 강산에, 이은미, 권인하",2296241,27800,"김광석 자료방",Good,Good,352,2022.07.27,QfV7YGGZXqs,QfV7YGGZXqs.jpg
303,28:54,"서울 부산 편하게 2시간 자동 왕복! 크루즈 자율비행 비행기 출고!",2277652,232000,"[에스모티브]YouTube공식채널 - 채작가의 차리뷰",Good,Good,4886,2022.07.20,LAk7AvMiALs,LAk7AvMiALs.jpg
304,27:25,"자, 대기들 타시고~ 선.수.입.장 | 메타코미디클럽 EP.02",5415663,942000,"메타코미디클럽",Good,Good,895,2022.07.01,GINFbEJwtDg,GINFbEJwtDg.jpg
305,3:25,"14화 | 아침송 | 좋은 아침!☀️베베핀이 가족들을 깨워요 | 엄마 아빠~아침이에요 | 아침 준비송 | 기상송 | 아침에 듣는 동요 | 베베핀 Bebefinn - 키즈 인기 동요",91277461,4900000,"베베핀 Bebefinn - 키즈 인기 동요",Good,Good,1046,2022.06.23,UDV5n3H2mfY,UDV5n3H2mfY.jpg
306,16:28,"어깨수술 후 통증.. 정상인가요? 회전근개파열수술에 대한 모든 것!",76616,11500,"가자건강TV",Good,Good,479,2022.06.03,26zPWnJ0UVM,26zPWnJ0UVM.jpg
307,4:47,"교과서음악 _ 동무생각",152567,8840,"Kony Music",Good,Good,478,2022.05.01,X557Gqwy6Po,X557Gqwy6Po.jpg
308,15:40,"카톡답장 20분안에 안하면 벌 주는 남친 참교육",4672737,1440000,"준우",Good,Good,960,2022.04.16,zgK2YZ5qjXU,zgK2YZ5qjXU.jpg
309,3:43,"TREASURE - ‘다라리 (DARARI)’ DANCE PRACTICE VIDEO",86942700,7980000,"TREASURE (트레저)",Good,Good,1746,2022.04.16,2bCdVnoztc8,2bCdVnoztc8.jpg
310,8:31,"하지정맥류도 아닌데 다리가 붓는 이유는?",56351,4320,"클린외과",Good,Good,383,2022.04.06,yt3DxlssHL8,yt3DxlssHL8.jpg
311,3:18,"(여자)아이들((G)I-DLE) - 'TOMBOY' Official Music Video",395870608,9680000,"i-dle (아이들)",Good,Good,2390,2022.03.14,Jh4QFaPmdss,Jh4QFaPmdss.jpg
312,3:18,"🐰힘들어도 뭐든 다 해볼거야🦊 : 𝗧𝗿𝘆 𝗘𝘃𝗲𝗿𝘆𝘁𝗵𝗶𝗻𝗴 (ft. Shakira)가사해석",8110693,27100,"제이치",Good,Good,44,2022.03.01,mipIdvWyGZA,mipIdvWyGZA.jpg
313,9:31,"인싸들도 부러워하는 특이한 학용품 5종 리뷰!! [꾹TV]",2161710,1850000,"꾹TV(Kkuk TV)",Good,Good,2245,2022.02.03,mxeHplJXqFY,mxeHplJXqFY.jpg
314,16:25,"[리얼널싱] 제15편: 정맥주사 리뷰｜교수님이 리뷰해주는 정맥주사💉",124030,11300,"삼육대디",Good,Good,250,2022.01.14,9e5OW7s4dWs,9e5OW7s4dWs.jpg
315,18:09,"로봇 연구소 탈출하기(@Wootso x인천시교육청)",545008,68900,"인천광역시교육청",Good,Good,3972,2021.12.31,RFdn7pcBxxA,RFdn7pcBxxA.jpg
316,4:34,"Rok Marines | 해병대의 노래",178000,27500,"NVG",Good,Good,140,2021.12.09,BdoWr99-010,BdoWr99-010.jpg
317,12:58,"[리얼널싱] 제 14편: 기관내 흡인│교수님 손을 내 손처럼 생각해본다면..!",121921,11300,"삼육대디",Good,Good,250,2021.12.07,EDnsXHBcj6Y,EDnsXHBcj6Y.jpg
318,4:42,"불새(Phoenix) MV_인연 (2004)",3032539,93100,"Drama & OST",Good,Good,90,2021.11.27,c7pDZunhvyY,c7pDZunhvyY.jpg
319,31:17,"까꿍! 동물친구ㅣ자연관찰ㅣ전편 몰아보기 (1~26화)ㅣBabies&KidsㅣPikaboo! Animal friendsㅣDaekyo noriQ l 대교 노리Q",9799348,131000,"대교어린이TV / Kids TV",Good,Good,1624,2021.11.12,LIEfAhU6xVs,LIEfAhU6xVs.jpg
320,2:54,"🎵요즘 어디선가 꼭 들어본 노래 : Meghan Trainor - Me Too [가사/해석/lyrics]",11009029,1700000,"때잉",Good,Good,657,2021.11.10,SQb6VqYfx50,SQb6VqYfx50.jpg
321,22:22,"어린이홈트)잠을 잘 자야 키도 잘 큰다(?)🧘🏽‍♀️우리 아이 꿀잠 자는 키성장 스트레칭 5가언",78477,6170,"이지조이 easyjoy_kids",Good,Good,248,2021.11.10,G5Q_JOSou2M,G5Q_JOSou2M.jpg
322,35:30,"엄마가 아파요 🤧 | 35분 연속듣기 | 손가락 가족 | 분리수거 ♻️ | 장보기 🍎 | 첫 미용실 ✂️ | 운동해요 👟 | 리틀엔젤 인기동요 | Little Angel",2865317,1640000,"리틀엔젤 인기동요 어린이노래 - Little Angel",Good,Good,838,2021.10.09,sBFt-JM4eUw,sBFt-JM4eUw.jpg
323,8:28,"“발목 수술 후 운동할 수 있는 시기는..” 발목 골절 치료법부터 집에서 할 수 있는 재활까지! (발목 손상 2편)",128219,31500,"서울부민병원",Good,Good,271,2021.10.06,NGDqAiaZJV0,NGDqAiaZJV0.jpg
324,10:51,"재가노인요양보호사 하루를 보여 드립니다.",1124634,6070,"봄날TV",Good,Good,24,2021.09.12,Y2_OIGk0FgI,Y2_OIGk0FgI.jpg
325,2:26,"🔥하고 싶은 말 대신 해드립니다 : 𝗛𝗨𝗚𝗘𝗟 - 𝗪𝗧𝗙 [가사/해석/lyrics]",8600297,1700000,"때잉",Good,Good,657,2021.09.01,G-uKqS9PGv4,G-uKqS9PGv4.jpg
326,51:57,"🏆 𝙏𝙊𝙋 𝟮𝟬 주니토니 인기동요 모음집 🎧 | 알록달록 크레파스 요정들 외 20곡 | 52분 연속재생 | 인기동요 연속듣기🎵 | 색깔놀이 | 응가송 | 직업체험 | 주니토니",14653077,2880000,"주니토니 - 인기 동요・동화",Good,Good,2009,2021.08.28,wzQuAHHA6Ek,wzQuAHHA6Ek.jpg
327,3:19,"Stray Kids ""소리꾼(Thunderous)"" M/V",447892145,31900000,"JYP Entertainment",Good,Good,2783,2021.08.23,EaswWiwMVs8,EaswWiwMVs8.jpg
328,57:44,"살이 미친듯이 빠져서 난리가 난! 홈트역사를 평정해버린! 오마이갓 전신유산소! (아갈머리+샤발라야+미실) / OH MY GOD FULLBODY AEROBIC WORKOUT",1304835,874000,"에이핏 afit",Good,Good,459,2021.07.26,IU8wnFpbh2c,IU8wnFpbh2c.jpg
329,3:03,"🏆 그래미 어워드 3관왕 : Olivia Rodrigo - good 4 u [가사/해석/자막/lyrics]",6855817,915000,"기몽초 ɢɪᴍᴏɴɢᴄʜᴏ",Good,Good,432,2021.05.30,UyshwO7p7jw,UyshwO7p7jw.jpg
330,2:55,"인간관계에 지쳐서 울고 싶은 날 : Lil Nas X - SUN GOES DOWN [가사/해석/자막/lyrics]",3570547,915000,"기몽초 ɢɪᴍᴏɴɢᴄʜᴏ",Good,Good,432,2021.05.21,vciOk8VNDcc,vciOk8VNDcc.jpg
331,6:55,"아기상어 색칠놀이 | 물감놀이 | 토이앤스토리 | 핑크퐁! 아기상어 올리",9750963,2100000,"핑크퐁! 아기상어 올리",Good,Good,1803,2021.03.16,TtLnMYcGqu0,TtLnMYcGqu0.jpg
332,8:23,"90%는 모르는 말을 잘해야 하는 이유 / 고소인 진술(고소를 준비한다면 제발 보세요) [생존법률]",191236,87900,"현변tv변호사현창윤",Good,Good,582,2021.03.15,UiDD5uqw4oc,UiDD5uqw4oc.jpg
333,16:59,"영어동요연속듣기 16분 | 영어가 자연스러워 지는 재미있는 영어동요 | 신학기 준비! 생활습관 다지기 | 학습영어동요",613831,402000,"리틀팍스 - 영어동화 세상",Good,Good,1167,2021.03.09,cmQ3FbqVJd0,cmQ3FbqVJd0.jpg
334,3:28,"빈첸 - FLYING HIGH WITH U [FLYING HIGH WITH U]ㅣLyrics/가사",6358001,449000,"알파",Good,Good,2880,2021.03.07,x9upuovB5Yk,x9upuovB5Yk.jpg
335,35:48,"식사 예절을 🍝 배워요 외 | 35분 연속듣기 | 배움송 모음 | 수영 | 생활안전 | 예절 | 병원 | 배변 | 식습관 | 직업 | 리틀엔젤 인기동요 | Little Angel",11109372,1640000,"리틀엔젤 인기동요 어린이노래 - Little Angel",Good,Good,838,2021.01.22,kDvYMPHO9JA,kDvYMPHO9JA.jpg
336,3:10,"아무도 나를 막을 수 없으셈 ㅋㅋ : Kanye West - Black Skinhead [가사/해석]",731973,970,"Lyrics Otter",Good,Good,66,2021.01.22,PiaY_dxdumI,PiaY_dxdumI.jpg
337,20:31,"[#명플리] 편안함에 이르렀나. 어두웠던 일상이 밝아지기까지 서로를 위로했던 이지은 X 이선균의 대화 모음 | #나의아저씨 #Diggle",6186813,5350000,"tvN D ENT",Good,Good,72061,2020.12.14,FVbAk9q8KFM,FVbAk9q8KFM.jpg
338,37:40,"[영어동화모음] 영어로 듣는 필독도서 이솝우화 | 60분 연속듣기 | 영어원서 읽어주는 원어민 오디오북 | 영어동화 연속듣기 | 명작동화 |",2079886,62100,"웅진빅박스",Good,Good,261,2020.10.30,U7mbrnG6IHg,U7mbrnG6IHg.jpg
339,11:03,"진짜중국인이 본 이수근 가짜중국어 VS 정상훈 가짜중국어 발음 비교",6981646,152000,"쓰이는 중국어만 알고싶다",Good,Good,489,2020.10.20,NXY5BRTgJHw,NXY5BRTgJHw.jpg
340,4:30,"[영화OST | 한국어 가사/해석/자막] 엔젤 | 영화 '시티 오브 엔젤' | Angel - 'City of Angels' OST - Sarah McLachlan, Lyrics",452422,100000,"Cool Music 쿨뮤직",Good,Good,364,2020.10.16,941CdaJUl4E,941CdaJUl4E.jpg
341,11:41,"나스티아와 아빠는 새로운 여행 장난감을 가지고 여행을떠난다",52060739,21000000,"Like Nastya Collections",Good,Good,1045,2020.10.05,SpJThnOiW_k,SpJThnOiW_k.jpg
342,38:26,"A부터 Z까지 알파벳의 대표 소리를 배우는 파닉스 동요 모음 | 38분 영어동요 연속듣기 | 파닉스송 |알파벳 발음송 | ABC송 | 파닉스 | 리틀팍스",2864998,402000,"리틀팍스 - 영어동화 세상",Good,Good,1167,2020.09.29,Q7ojIAY24zs,Q7ojIAY24zs.jpg
343,21:02,"사회통합프로그램 사전평가시험 문제유형별 준비하기 구술시험 | 구술시험 문제 풀어보기",89939,7450,"정보공유마당",Good,Good,80,2020.09.14,wo309otXc30,wo309otXc30.jpg
344,10:30,"힐링동요｜정리해｜10분 연속 재생",11667705,9770,"스페셜 레이블 Special Lable",Good,Good,362,2020.07.31,Cr_OHzXTTbM,Cr_OHzXTTbM.jpg
345,4:00,"The lovely song when we parted (사랑노래 같은 이별노래 (FEAT. 한올, 리와인))",2791118,6290,"Acourve - Topic",Good,Good,89,2020.07.24,AC0alNuhHMM,AC0alNuhHMM.jpg
346,9:59,"喋血双雄(첩혈쌍웅, The Killer) OST Full version / Opening , 淺醉一生(천취일생) , 隨緣(수연) , Ending【가사번역】",607247,19100,"진이삼춘",Good,Good,358,2020.06.26,sR2FgyoP5Wk,sR2FgyoP5Wk.jpg
347,3:07,"Stray Kids ""神메뉴(God's Menu)"" M/V",567633875,31900000,"JYP Entertainment",Good,Good,2783,2020.06.17,TQTlCHxyuu8,TQTlCHxyuu8.jpg
348,5:18,"등록하고 후회했습니다. 왜 이제 했을까... 도어락 스마트폰 등록방법, 주의사항 고정댓글 꼭 확인하세요",5994953,373000,"에이트 ATE",Good,Good,695,2020.06.16,b5Isq5AzRso,b5Isq5AzRso.jpg
349,3:44,"포레스텔라 - Nella Fantasia [열린 음악회/Open Concert] 20200524",4830408,2170000,"KBS 레전드 케이팝",Good,Good,30973,2020.05.24,QfljfLcg6jA,QfljfLcg6jA.jpg
350,11:35,"키 크는 방법, 딱 10분! 1주일에 3회 따라하세요! 실내 키 성장 체조",629265,13000,"함소아",Good,Good,586,2020.04.27,qIU3WalVa3Q,qIU3WalVa3Q.jpg
351,11:32,"[쫑알쫑알 똘똘이 풀버전] 6화 - 사라진 똘봉이 | Toritori Animation | EP.6 Disappeared Brother | Cartoons for Kids",5478149,484000,"쫑알쫑알 똘똘이TV · Toritori",Good,Good,626,2020.04.09,LdPDr92_ZYM,LdPDr92_ZYM.jpg
352,3:30,"[SUNYOUL’IVE] Tones And I - Dance Monkey [Cover by 업텐션 선율 (UP10TION SUNYOUL)]",883414,289000,"UP10TION",Good,Good,872,2020.04.06,VSKss8cHxiY,VSKss8cHxiY.jpg
353,4:18,"이선희 - '인연' [콘서트7080, 2005] | Lee Sun-hee - 'Fate'",4346036,1050000,"Again 가요톱10 : KBS KPOP Classic",Good,Good,11991,2020.04.05,SZrjNYqxi30,SZrjNYqxi30.jpg
354,36:18,"💊🩺 간호조무사 실습 필수! [간호조무사를 위한 실습용어 S.O.S] 1강: 기본간호, Vital Sign, BST, Medication 용어 마스터! 💯🌟",161882,23700,"의학용어 톡톡 | 국제 알버트슈바이처재단",Good,Good,402,2020.04.02,JiPV-mS3D3A,JiPV-mS3D3A.jpg
355,25:20,"마샤와 곰 🍰🤗🍭달콤함과 즐거움🍰🤗🍭Masha and the Bear",8329868,3870000,"마샤와 곰",Good,Good,1910,2020.02.28,3gLY-VOYgj4,3gLY-VOYgj4.jpg
356,3:29,"EVERGLOW (에버글로우) - DUN DUN MV",309658686,11200000,"Stone Music Entertainment",Good,Good,14445,2020.02.03,NoYKBAajoyo,NoYKBAajoyo.jpg
357,5:51,"서종예 방송댄스 | ALADDIN 알라딘 | Aladdin O.S.T 외 @ 2019 졸업발표회 Filmed by lEtudel",894667,631000,"lEtudel",Good,Good,2276,2020.01.17,AhEnwZUjswM,AhEnwZUjswM.jpg
358,8:01,"서공예 11기 실무과 수련회 장기자랑",10015855,18000,"서공예 실용무용과 11기",Good,Good,66,2020.01.07,IixCCsoCzug,IixCCsoCzug.jpg
359,3:36,"Red Velvet 레드벨벳 'Psycho' MV",432246361,33700000,"SMTOWN",Good,Good,4704,2019.12.23,uR8Mrt1IpXg,uR8Mrt1IpXg.jpg
360,1:27,"Ariana Grande - Santa Tell Me / 어린이 오디션반 choreography",3130597,1540000,"MOVE Dance Studio",Good,Good,11186,2019.12.21,qr2d3VJNpmk,qr2d3VJNpmk.jpg
361,4:41,"박진영 (J.Y. Park) ""FEVER (Feat. 수퍼비, BIBI)"" M/V",32976127,31900000,"JYP Entertainment",Good,Good,2783,2019.11.30,IePbjLAUvf0,IePbjLAUvf0.jpg
362,3:28,"저스틴 비버에게, Selena Gomez - Lose You To Love Me [가사/해석/자막]",13467502,915000,"기몽초 ɢɪᴍᴏɴɢᴄʜᴏ",Good,Good,432,2019.11.03,-zf9DUS0bOU,-zf9DUS0bOU.jpg
363,7:53,"수업 방해 유형! 수업 방해 친구 유형! [슬기로운 초등생활]59교시-수업 방해 유형!",100079,29500,"슬기로운 초등생활",Good,Good,310,2019.10.14,LICCkxyRp0k,LICCkxyRp0k.jpg
364,26:26,"10초 카운트 다운 / 10초 타이머",106515,5840,"윙보드게임 WING Board Game",Good,Good,305,2019.10.13,Axn1pcTqGdY,Axn1pcTqGdY.jpg
365,4:28,"Once Upon a time in china 3 OST 黃飛鴻3 獅王爭覇 OST Jet Li 황비홍3 사왕쟁패 OST",1186909,6590,"무공비급",Good,Good,15,2019.10.03,Elt_x3W5Euk,Elt_x3W5Euk.jpg
366,1:56,"애쉬 아일랜드 (ASH ISLAND) - 악몽 [More ASH]ㅣLyrics/가사",10698829,449000,"알파",Good,Good,2880,2019.08.30,zeez_GJW5Mo,zeez_GJW5Mo.jpg
367,37:43,"아이들 인기 최고 동물동요 37분 모음집 ♪ | 어린이 율동동요 모음 | 인기동요 연속듣기★지니키즈",6852624,1980000,"지니키즈 Genikids (인기 동요・동화)",Good,Good,1529,2019.08.23,mPU_I3L-9R8,mPU_I3L-9R8.jpg
368,14:38,"으뜸이 태어나 처음 워터파크 가다!?ㅋㅋㅋㅋ(흔한남매)",24170673,3040000,"흔한남매",Good,Good,1671,2019.08.03,9D9IHpBbUvE,9D9IHpBbUvE.jpg
369,46:16,"23곡 | If You're Happy, Polly Put the Kettle On, Famer in the Dell 등 신나는 동요 | 리틀팍스 |영어동요 | 너서리 라임",2058611,402000,"리틀팍스 - 영어동화 세상",Good,Good,1167,2019.07.30,vUAdLgJmepM,vUAdLgJmepM.jpg
370,13:10,"척추 측만증 체조 따라하기 연속 동작 동영상 - 고려대 구로병원 척추측만증 센터",1300555,12000,"서 승 우 SUH SEUNG WOO",Good,Good,97,2019.07.19,CNrJ1RQ465U,CNrJ1RQ465U.jpg
371,3:34,"[Dance] CHUNG HA 청하 'Snapping' Choreography Video",12433121,1370000,"CHUNG HA_Official",Good,Good,335,2019.07.13,195tL4wrhsk,195tL4wrhsk.jpg
372,2:25,"[19 서울예대합격 최진솔 COVER] Believer - Imagine Dragons",11290217,1100000,"파워보컬 / PowerVocal",Good,Good,744,2019.07.07,4B4t6eP4Yw4,4B4t6eP4Yw4.jpg
373,11:43,"멈추지 않는 채윤이의 눈물ㅠㅠ 서울랜드에서 가장 무서운 놀이기구 Best 3 타기 도전! │[안방스쿨][마이린 간니 채윤]",1157748,150000,"짝쿵TV",Good,Good,304,2019.07.06,m_HE3Z4jgjw,m_HE3Z4jgjw.jpg
374,3:37,"청하 (CHUNGHA) - Snapping (Color Coded Lyrics Eng/Rom/Han/가사)",12029992,5840000,"Jaeguchi",Good,Good,2082,2019.06.24,9PZp0t5xrhc,9PZp0t5xrhc.jpg
375,3:35,"CHUNG HA 청하 'Snapping' Official Music Video",22406986,422000,"MNH Entertainment",Good,Good,202,2019.06.24,SxhPskMuhus,SxhPskMuhus.jpg
