순번,영상길이,제목,조회수,구독자,채널명,기여도,성과도,총영상수,게시일,영상ID,썸네일파일
84,34:32,"[ㅈㄸㄸ원정대4 본편] 엉망진창 와장창",2073775,1110000,"하하 PD HAHA PD",Great,Good,448,2026.04.30,NtXLj7xOeE8,NtXLj7xOeE8.jpg
85,16:48,"서울대 명의가 말하는 당뇨의 모든 것 | 서울대병원 이승훈 교수",2344193,97500,"썰닥",Great,Good,50,2026.04.30,8m7VeKol9z4,8m7VeKol9z4.jpg
86,1:12,"아모스X케이팝 데몬 헌터스 글라스데코 콜라보 직접 써봤다… 다람냥 리뷰 2편🔥 (제대로 파헤쳐봤습니다)",402096,20200,"아모스",Good,Good,663,2026.04.30,HMKDB2b7qX0,HMKDB2b7qX0.jpg
87,10:33,"요즘 온라인 부업 하면 안되는 이유 (진짜 현실 경험담)",111074,3850,"쿠팡주부셀러-비숍",Great,Great,34,2026.04.29,CGnYynV5PUo,CGnYynV5PUo.jpg
88,18:41,"귀여운 건 세상뿐만 아니라 내 위장도 구해...𖤐ˊ˗🐻| 곰돌이 햄버거🍔| 고등어구이 도시락🐟| 참치 샐러드 밀프렙🥗| 타코야끼 팬으로 만든 김치볶음밥🍙",63576,8530,"나봉 Nabong",Great,Great,42,2026.04.29,Ua9L2sO-i_s,Ua9L2sO-i_s.jpg
89,24:15,"제니랑 굳이데이트",2927747,1130000,"WOODZ",Good,Good,551,2026.04.29,5Ztn7VYOcBg,5Ztn7VYOcBg.jpg
90,24:27,"🫢 서울 살아도 잘 모르는 가볼만한 곳 10! 휴일에 혼자 걷기 정말 좋아요! | 대중교통 트레킹 여행",368199,243000,"트레킹 코리아",Great,Good,318,2026.04.28,ig5w8cd6T20,ig5w8cd6T20.jpg
91,32:15,"'이 5가지 말' 한마디에 그 사람의 본성과 행동이 다 드러난다. 당장 연을 끊어라.｜정약용｜사람 보는 법｜인간관계 지혜｜노후｜인생명언｜인생철학｜오디오북",308381,12300,"마음보약",Great,Good,113,2026.04.28,2kbW2AaposE,2kbW2AaposE.jpg
92,16:31,"에이블리 메가세일 뭐 샀냐면...🛒 1-4만원대 봄~여름옷, 나만 알고싶은 쇼핑몰 추천, 기본템까지 싹싹 담았음",58871,3760,"믾의 minhee",Great,Great,42,2026.04.27,ArNEJwszuxo,ArNEJwszuxo.jpg
93,28:07,"월세 1,300만원 소유 집 공개 [EN]",1029973,163000,"이창섭&저창섭",Good,Good,114,2026.04.24,---HRSfXoWU,---HRSfXoWU.jpg
