type,start,end,dur_s,reason
KEEP,00:07:13.374,00:07:14.749,1.38,
CUT,00:07:14.749,00:07:15.142,0.39,silence
KEEP,00:07:15.142,00:07:20.951,5.81,
CUT,00:07:20.951,00:07:21.464,0.51,silence
KEEP,00:07:21.464,00:07:24.940,3.48,
CUT,00:07:24.940,00:07:25.669,0.73,silence
KEEP,00:07:25.669,00:07:27.634,1.97,
CUT,00:07:27.634,00:07:28.005,0.37,silence
KEEP,00:07:28.005,00:07:30.048,2.04,
CUT,00:07:30.048,00:07:30.532,0.48,silence
KEEP,00:07:30.532,00:07:33.232,2.70,
CUT,00:07:33.232,00:07:33.792,0.56,silence
KEEP,00:07:33.792,00:07:37.415,3.62,
CUT,00:07:37.415,00:07:37.888,0.47,silence
KEEP,00:07:37.888,00:07:43.243,5.36,
CUT,00:07:43.243,00:07:43.622,0.38,silence
KEEP,00:07:43.622,00:07:46.684,3.06,
CUT,00:07:46.684,00:07:47.138,0.45,silence
KEEP,00:07:47.138,00:07:49.276,2.14,
CUT,00:07:49.276,00:07:49.857,0.58,silence
KEEP,00:07:49.857,00:07:51.727,1.87,
CUT,00:07:51.727,00:07:52.119,0.39,silence
KEEP,00:07:52.119,00:07:56.988,4.87,
CUT,00:07:56.988,00:07:57.435,0.45,silence
KEEP,00:07:57.435,00:08:00.727,3.29,
CUT,00:08:00.727,00:08:01.072,0.34,silence
KEEP,00:08:01.072,00:08:05.638,4.57,
CUT,00:08:05.638,00:08:06.322,0.68,silence
KEEP,00:08:06.322,00:08:08.556,2.23,
CUT,00:08:08.556,00:08:08.886,0.33,silence
KEEP,00:08:08.886,00:08:12.390,3.50,
CUT,00:08:12.390,00:08:12.739,0.35,silence
KEEP,00:08:12.739,00:08:15.555,2.82,
CUT,00:08:15.555,00:08:17.014,1.46,silence
KEEP,00:08:17.014,00:08:22.039,5.03,
CUT,00:08:22.039,00:08:22.364,0.33,silence
KEEP,00:08:22.364,00:08:24.134,1.77,
CUT,00:08:24.134,00:08:24.453,0.32,silence
KEEP,00:08:24.453,00:08:27.576,3.12,
CUT,00:08:27.576,00:08:27.968,0.39,silence
KEEP,00:08:27.968,00:08:29.089,1.12,
CUT,00:08:29.089,00:08:29.683,0.59,silence
KEEP,00:08:29.683,00:08:33.291,3.61,
CUT,00:08:33.291,00:08:33.758,0.47,silence
KEEP,00:08:33.758,00:08:34.831,1.07,
CUT,00:08:34.831,00:08:35.202,0.37,silence
KEEP,00:08:35.202,00:08:40.182,4.98,
CUT,00:08:40.182,00:08:40.523,0.34,silence
KEEP,00:08:40.523,00:08:42.999,2.48,
CUT,00:08:42.999,00:08:43.352,0.35,silence
KEEP,00:08:43.352,00:08:46.861,3.51,
CUT,00:08:46.861,00:08:47.840,0.98,silence
KEEP,00:08:47.840,00:08:50.965,3.12,
CUT,00:08:50.965,00:08:51.467,0.50,silence
KEEP,00:08:51.467,00:08:55.298,3.83,
CUT,00:08:55.298,00:08:55.816,0.52,silence
KEEP,00:08:55.816,00:08:59.295,3.48,
CUT,00:08:59.295,00:08:59.685,0.39,silence
KEEP,00:08:59.685,00:09:01.707,2.02,
CUT,00:09:01.707,00:09:02.057,0.35,silence
KEEP,00:09:02.057,00:09:03.415,1.36,
CUT,00:09:03.415,00:09:04.020,0.60,silence
KEEP,00:09:04.020,00:09:09.879,5.86,
CUT,00:09:09.879,00:09:10.227,0.35,silence
KEEP,00:09:10.227,00:09:13.188,2.96,
CUT,00:09:13.188,00:09:14.877,1.69,silence
KEEP,00:09:14.877,00:09:19.811,4.93,
CUT,00:09:19.811,00:09:20.230,0.42,silence
KEEP,00:09:20.230,00:09:23.942,3.71,
CUT,00:09:23.942,00:09:24.448,0.51,silence
KEEP,00:09:24.448,00:09:26.760,2.31,
CUT,00:09:26.760,00:09:27.264,0.50,silence
KEEP,00:09:27.264,00:09:29.772,2.51,
CUT,00:09:29.772,00:09:30.290,0.52,silence
KEEP,00:09:30.290,00:09:33.903,3.61,
CUT,00:09:33.903,00:09:35.786,1.88,silence
KEEP,00:09:35.786,00:09:41.094,5.31,
CUT,00:09:41.094,00:09:41.452,0.36,silence
KEEP,00:09:41.452,00:09:44.052,2.60,
CUT,00:09:44.052,00:09:44.506,0.45,silence
KEEP,00:09:44.506,00:09:45.295,0.79,
CUT,00:09:45.295,00:09:45.723,0.43,silence
KEEP,00:09:45.723,00:09:46.941,1.22,
CUT,00:09:46.941,00:09:47.519,0.58,silence
KEEP,00:09:47.519,00:09:49.035,1.52,
CUT,00:09:49.035,00:09:49.393,0.36,silence
KEEP,00:09:49.393,00:09:49.924,0.53,
CUT,00:09:49.924,00:09:50.511,0.59,silence
KEEP,00:09:50.511,00:09:51.533,1.02,
CUT,00:09:51.533,00:09:51.954,0.42,silence
KEEP,00:09:51.954,00:09:56.695,4.74,
CUT,00:09:56.695,00:09:57.349,0.65,silence
KEEP,00:09:57.349,00:09:58.350,1.00,
CUT,00:09:58.350,00:09:58.814,0.46,silence
KEEP,00:09:58.814,00:10:00.015,1.20,
CUT,00:10:00.015,00:10:00.564,0.55,silence
KEEP,00:10:00.564,00:10:05.548,4.98,
CUT,00:10:05.548,00:10:05.869,0.32,silence
KEEP,00:10:05.869,00:10:07.547,1.68,
CUT,00:10:07.547,00:10:07.916,0.37,silence
KEEP,00:10:07.916,00:10:12.808,4.89,
CUT,00:10:12.808,00:10:13.747,0.94,silence
KEEP,00:10:13.747,00:10:16.685,2.94,
CUT,00:10:16.685,00:10:17.212,0.53,silence
KEEP,00:10:17.212,00:10:23.069,5.86,
CUT,00:10:23.069,00:10:23.475,0.41,silence
KEEP,00:10:23.475,00:10:26.712,3.24,
CUT,00:10:26.712,00:10:27.278,0.57,silence
KEEP,00:10:27.278,00:10:34.689,7.41,
CUT,00:10:34.689,00:10:35.171,0.48,silence
KEEP,00:10:35.171,00:10:38.562,3.39,
CUT,00:10:38.562,00:10:38.972,0.41,silence
